I0,I1,I2,I3,I4,I5,I6
0.000000,-3.252104,1.293900,-0.022280,0.000000,0.000000,0.000000
0.000000,-3.252107,1.293900,-0.022280,0.000000,0.000000,0.000000
0.000000,-3.252107,1.293900,-0.022280,0.000000,0.000000,0.000000
0.000000,-3.252107,1.293900,-0.022280,0.000000,0.000000,0.000000
0.000000,-3.252120,1.293900,-0.022280,0.000000,0.000000,0.000000
0.000000,-3.252120,1.293900,-0.022280,0.000000,0.000000,0.000000
0.000000,-3.252120,1.293900,-0.022280,0.000000,0.000000,0.000000
0.000000,-3.252126,1.293900,-0.022280,0.000000,0.000000,0.000000
0.000000,-3.252126,1.293900,-0.022280,0.000000,0.000000,0.000000
0.000000,-3.252126,1.293900,-0.022280,0.000000,0.000000,0.000000
0.000000,-3.252126,1.293900,-0.022280,0.000000,0.000000,0.000000
0.000000,-3.252157,1.293900,-0.022280,0.000000,0.000000,0.000000
0.000000,-3.252157,1.293900,-0.022280,0.000000,0.000000,0.000000
0.000000,-3.252157,1.293900,-0.022280,0.000000,0.000000,0.000000
0.000000,-3.252211,1.293900,-0.022280,0.000000,0.000000,0.000000
0.000000,-3.252211,1.293900,-0.022280,0.000000,0.000000,0.000000
0.000000,-3.252211,1.293900,-0.022280,0.000000,0.000000,0.000000
0.000000,-3.252254,1.293900,-0.022280,0.000000,0.000000,0.000000
0.000000,-3.252254,1.293900,-0.022280,0.000000,0.000000,0.000000
0.000000,-3.252254,1.293900,-0.022280,0.000000,0.000000,0.000000
0.000000,-3.252254,1.293900,-0.022280,0.000000,0.000000,0.000000
0.000000,-3.252282,1.293900,-0.022280,0.000000,0.000000,0.000000
0.000000,-3.252282,1.293900,-0.022280,0.000000,0.000000,0.000000
0.000000,-3.252282,1.293900,-0.022280,0.000000,0.000000,0.000000
0.000000,-3.252304,1.293900,-0.022280,0.000000,0.000000,0.000000
0.000000,-3.252304,1.293900,-0.022280,0.000000,0.000000,0.000000
0.000000,-3.252304,1.293900,-0.022280,0.000000,0.000000,0.000000
0.000000,-3.252319,1.293900,-0.022280,0.000000,0.000000,0.000000
0.000000,-3.252319,1.293900,-0.022280,0.000000,0.000000,0.000000
0.000000,-3.252319,1.293900,-0.022280,0.000000,0.000000,0.000000
0.000000,-3.252319,1.293900,-0.022280,0.000000,0.000000,0.000000
0.000000,-3.252350,1.293900,-0.022280,0.000000,0.000000,0.000000
0.000000,-3.252350,1.293900,-0.022280,0.000000,0.000000,0.000000
0.000000,-3.252350,1.293900,-0.022280,0.000000,0.000000,0.000000
0.000000,-3.252353,1.293900,-0.022280,0.000000,0.000000,0.000000
0.000000,-3.252353,1.293900,-0.022280,0.000000,0.000000,0.000000
0.000000,-3.252353,1.293900,-0.022280,0.000000,0.000000,0.000000
0.000000,-3.252369,1.293900,-0.022280,0.000000,0.000000,0.000000
0.000000,-3.252369,1.293900,-0.022280,0.000000,0.000000,0.000000
0.000000,-3.252369,1.293900,-0.022280,0.000000,0.000000,0.000000
0.000000,-3.252369,1.293900,-0.022280,0.000000,0.000000,0.000000
0.000000,-3.252363,1.293900,-0.022280,0.000000,0.000000,0.000000
0.000000,-3.252363,1.293900,-0.022280,0.000000,0.000000,0.000000
0.000000,-3.252363,1.293900,-0.022280,0.000000,0.000000,0.000000
0.000000,-3.252357,1.293900,-0.022280,0.000000,0.000000,0.000000
0.000000,-3.252357,1.293900,-0.022280,0.000000,0.000000,0.000000
0.000000,-3.252357,1.293900,-0.022280,0.000000,0.000000,0.000000
0.000000,-3.252371,1.293900,-0.022280,0.000000,0.000000,0.000000
0.000000,-3.252371,1.293900,-0.022280,0.000000,0.000000,0.000000
0.000000,-3.252371,1.293900,-0.022280,0.000000,0.000000,0.000000
