I0,I1,I2,I3,I4,I5,I6
0.000000,-3.529945,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.529945,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.529901,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.529901,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.529901,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.529901,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.529875,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.529875,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.529875,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.529830,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.529830,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.529830,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.529799,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.529799,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.529799,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.529799,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.529770,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.529770,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.529770,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.529735,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.529735,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.529735,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.529711,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.529711,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.529711,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.529711,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.529699,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.529699,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.529699,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.529696,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.529696,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.529696,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.529678,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.529678,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.529678,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.529678,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.529644,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.529644,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.529644,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.529665,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.529665,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.529665,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.529680,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.529680,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.529680,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.529680,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.529695,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.529695,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.529695,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.529706,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.529706,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.529706,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.529745,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.529745,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.529745,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.529745,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.529757,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.529757,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.529757,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.529767,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.529767,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.529767,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.529789,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.529789,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.529789,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.529789,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.529775,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.529775,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.529775,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.529769,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.529769,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.529769,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.529783,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.529783,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.529783,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.529783,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.529793,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.529793,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.529793,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.529783,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.529783,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.529783,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.529795,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.529795,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.529795,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.529795,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.529814,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.529814,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.529814,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.529847,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.529847,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.529847,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.529874,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.529874,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.529874,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.529874,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.529891,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.529891,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.529891,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.529881,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.529881,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.529881,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.529879,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.529879,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.529879,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.529879,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.529896,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.529896,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.529896,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.529927,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.529927,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.529927,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.529948,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.529948,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.529948,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.529948,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.529968,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.529968,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.529968,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.529996,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.529996,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.529996,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.530009,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.530009,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.530009,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.530009,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.530047,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.530047,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.530047,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.530104,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.530104,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.530104,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.530147,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.530147,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.530147,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.530147,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.530211,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.530211,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.530211,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.530265,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.530265,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.530265,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.530276,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.530276,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.530276,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.530276,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.530275,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.530275,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.530275,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.530264,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.530264,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.530264,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.530257,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.530257,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.530257,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.530257,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.530240,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.530240,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.530240,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.530241,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.530241,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.530241,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.530259,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.530259,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.530259,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.530259,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.530263,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.530263,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.530263,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.530260,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.530260,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.530260,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.530246,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.530246,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.530246,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.530246,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.530257,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.530257,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.530257,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.530221,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.530221,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.530221,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.530173,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.530173,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.530173,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.530173,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.530133,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.530133,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.530133,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.530123,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.530123,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.530123,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.530136,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.530136,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.530136,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.530136,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.530143,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.530143,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.530143,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.530112,1.298691,0.000144,0.000000,0.000000,0.000000
0.000000,-3.530112,1.298691,0.000144,0.000000,0.000000,0.000000
