stamp,sample_frame_count,joint1,joint2,joint3,joint4,joint5,joint6,joint7,joint1_velocity,joint2_velocity,joint3_velocity,joint4_velocity,joint5_velocity,joint6_velocity,joint7_velocity,joint1_effort,joint2_effort,joint3_effort,joint4_effort,joint5_effort,joint6_effort,joint7_effort,joint1_effort_stddev,joint2_effort_stddev,joint3_effort_stddev,joint4_effort_stddev,joint5_effort_stddev,joint6_effort_stddev,joint7_effort_stddev
1785211611.1505992,51,-0.002539396286010742,1.2270123958587646,-0.17167353630065918,0.00455164909362793,0.516034953734454,-0.0012936592102050781,-0.010588884353637695,0.012210845947265625,-0.012210845947265625,-0.012210845947265625,-0.012210845947265625,0.012210845947265625,-0.0073261260986328125,-0.0073261260986328125,0.05372428894042969,-10.687255990271474,-8.223036036771887,-0.03469080083510455,-1.5513469658645929,-0.014924928253772212,-0.012913881563672833,0.0,0.004769281184708786,0.006317641366233578,0.004852934670077182,0.0029201661525488083,0.0020412293267673205,0.0009397359093656275
1785211621.9506443,51,-0.0051267147064208984,1.1957728862762451,-0.41344428062438965,-0.004072666168212891,0.42714715003967285,-0.0043599605560302734,-0.02620863914489746,0.012210845947265625,-0.012210845947265625,-0.012210845947265625,-0.012210845947265625,0.012210845947265625,-0.0073261260986328125,-0.0073261260986328125,0.010821847354664522,-10.521199637768316,-8.622183930640126,-0.08106029734892004,-1.528592913758521,0.0409538325141458,-0.022940439336440143,0.004768815571003357,0.006438271532578106,0.00580928460198867,0.004473376113765325,0.0038774113106254116,0.00199580385860553,0.0015455377928465964
1785211626.8505957,51,-0.0051267147064208984,1.1962521076202393,-0.6399784088134766,-0.004072666168212891,0.4271847360274371,-0.0044558048248291016,-0.02620863914489746,0.012210845947265625,-0.012210845947265625,-0.012210845947265625,-0.012210845947265625,0.012210845947265625,-0.0073261260986328125,-0.0073261260986328125,0.005841947069355086,-10.553759892781576,-8.306351624283137,-0.08054318147547104,-1.4233569724887025,0.04710193708831189,-0.023515060836193608,0.006771855483488976,0.005610247848450767,0.006123020136910154,0.004238037224724103,0.0038427736916442218,0.0021483818864008915,0.0017959929144821297
1785211631.650622,51,-0.0051267147064208984,1.196347951889038,-0.9327287673950195,-0.004063269671271829,0.4272429943084717,-0.0043599605560302734,-0.02620863914489746,0.012210845947265625,-0.012210845947265625,-0.012210845947265625,-0.012210845947265625,0.012210845947265625,-0.0073261260986328125,-0.0073261260986328125,0.004118077895220588,-10.416624723696241,-6.568986892700195,-0.07864708993949142,-1.1776340709013098,0.04690083335427677,-0.020958091698440852,0.0069325972212748235,0.005210230061771537,0.0,0.003490266129536279,0.0021632509020051136,0.002921372936690616,0.0018124651097111708
1785211644.7506158,51,-0.00503087043762207,1.196443796157837,-0.9715385437011719,-0.004072666168212891,0.4317923012901755,-0.0044558048248291016,-0.02620863914489746,0.012210845947265625,-0.012210845947265625,-0.012210845947265625,-0.012210845947265625,0.012210845947265625,-0.0073261260986328125,-0.0073261260986328125,-0.007565816243489583,-10.422178997712976,-6.233235340492398,-0.08071555343328737,-1.6839042364382277,0.05106659964019177,-0.023400147755940754,0.0075112249927200775,0.0048753094300074545,0.004722901335503913,0.003694956860524784,0.004860548611450163,0.0018078590316684263,0.002079278398658495
1785211649.7506962,51,-0.00503087043762207,1.0688984394073486,-0.8421726226806641,-0.004072666168212891,0.43183176657732797,-0.0044558048248291016,-0.02620863914489746,0.012210845947265625,-0.012210845947265625,-0.012210845947265625,-0.012210845947265625,0.012210845947265625,-0.0073261260986328125,-0.0073261260986328125,-0.007757149490655637,-10.673657379898371,-7.257343909319709,-0.07899183385512408,-1.8174959444532208,0.05253175660675647,-0.021963633742986943,0.007565068419863302,0.0059032383904590955,0.006798531257314398,0.0030592987644314632,0.0020395325096209753,0.0024071262530682242,0.001341396510988229
1785211653.7506428,52,-0.00503087043762207,0.9306204319000244,-0.7065777778625488,-0.004072666168212891,0.43180249287531924,-0.0043599605560302734,-0.02620863914489746,0.012210845947265625,-0.012210845947265625,-0.012210845947265625,-0.012210845947265625,0.012210845947265625,-0.0073261260986328125,-0.0073261260986328125,-0.0035694195674015926,-10.05654158959022,-7.763501570774959,-0.07988186982961801,-1.9318681863638072,0.04471681668208195,-0.02192165759893564,0.005428496912200565,0.006342438394220814,0.00964266164173348,0.003923982740277338,0.004310501647657105,0.0020619445342819494,0.0021010158904642626
1785211657.5506256,51,-0.00503087043762207,0.7586119174957275,-0.5370623784906724,-0.004072666168212891,0.4317471981048584,-0.0043599605560302734,-0.02620863914489746,0.012210845947265625,-0.012210845947265625,-0.012210845947265625,-0.012210845947265625,0.012210845947265625,-0.0073261260986328125,-0.0073261260986328125,-0.008714937696269914,-9.242548325482536,-8.23720926396987,-0.0799398796231139,-2.035725144778981,0.044602454877367206,-0.022337128134334788,0.006438438426181126,0.004450962786416735,0.004017362490993833,0.003940122839093921,0.004520040941950386,0.0023286705586518575,0.0016628207391340113
1785211662.9506147,51,-0.00503087043762207,0.5132956504821777,-0.3131136894226074,-0.004072666168212891,0.43165135383605957,-0.0043599605560302734,-0.02620863914489746,0.012210845947265625,-0.012210845947265625,-0.012210845947265625,-0.012210845947265625,0.012210845947265625,-0.0073261260986328125,-0.0073261260986328125,-0.005650613822189032,-3.7105983659332873,-8.149680474225212,-0.07916420581294041,-2.0964875875734816,0.045119584775438495,-0.022595676721311082,0.005060294653731235,0.004723362421253742,0.00632921039096276,0.004384486677070434,0.003176043951233519,0.0018418280601037523,0.0015032871823429967
1785211666.9505928,51,-0.00503087043762207,0.21929931640625,-0.022567033767700195,-0.004072666168212891,0.43059730529785156,-0.0043599605560302734,-0.02620863914489746,0.012210845947265625,-0.012210845947265625,-0.012210845947265625,-0.012210845947265625,0.012210845947265625,-0.0073261260986328125,-0.0073261260986328125,-0.00852360444910386,-1.1259062897925283,-8.360746047076058,-0.08002606560202206,-1.9385047800400679,0.038799075519337374,-0.022107311323577284,0.004722440249754083,0.0059897876320007225,0.006489549460765251,0.004377704791066349,0.006535533260149587,0.0015756951208649027,0.0015938819287924402
