stamp,sample_frame_count,joint1,joint2,joint3,joint4,joint5,joint6,joint7,joint1_velocity,joint2_velocity,joint3_velocity,joint4_velocity,joint5_velocity,joint6_velocity,joint7_velocity,joint1_effort,joint2_effort,joint3_effort,joint4_effort,joint5_effort,joint6_effort,joint7_effort,joint1_effort_stddev,joint2_effort_stddev,joint3_effort_stddev,joint4_effort_stddev,joint5_effort_stddev,joint6_effort_stddev,joint7_effort_stddev,j2j3_effort_derivative
1785214806.7506251,51,-0.002539396286010742,1.2291209697723389,1.039629206012277,-0.005701541900634766,0.5112831592559814,-4.792213439941406e-05,-0.011642932891845703,0.012210845947265625,-0.012210845947265625,-0.02425074005126953,-0.012210845947265625,0.012210845947265625,-0.0073261260986328125,-0.0073261260986328125,-7.967482882604057e-18,-1.8892833559980962,-7.093040191620546,-0.09054239947707764,-1.4585349494355195,0.03296634994107322,-0.08648077365635917,4.676326499654053e-17,3.7576645774155884e-05,3.7576645774155884e-05,2.1091660210733538e-05,8.663238383013594e-06,8.089149565285389e-06,2.029201527493628e-05,0.986
1785214816.3506162,51,-0.002443552017211914,1.1661627292633057,0.9307288231849671,-0.005701541900634766,0.3982079029083252,-4.792213439941406e-05,-0.012122154235839844,0.012210845947265625,-0.012210845947265625,-0.02425074005126953,-0.012210845947265625,0.012210845947265625,-0.0073261260986328125,-0.0073261260986328125,7.196857489040721e-17,-1.7110295467729748,-7.052494326516023,-0.0887536297303567,-1.4697583195556883,0.018732994244715508,-0.08995563701378122,5.463995442597794e-17,1.5776688860839895e-08,1.5776688860839895e-08,2.2495182391092878e-05,4.6542933671370474e-08,3.7490667029443303e-06,2.282750317473439e-05,0.986
1785214819.7506077,51,-0.002443552017211914,1.1664502620697021,0.6516775469779967,-0.005701541900634766,0.3982079029083252,-0.0001437664031982422,-0.012122154235839844,0.012210845947265625,-0.012210845947265625,-0.02425074005126953,-0.012210845947265625,0.012210845947265625,-0.0073261260986328125,-0.0073261260986328125,-4.5715065719859385e-17,-2.3444095739178503,-6.420193211733012,-0.07940096883119194,-1.4000280027986491,-0.007282229279096279,-0.09057302635754151,5.463995442597794e-17,1.157427255402339e-07,1.157427255402339e-07,2.472586430705011e-05,3.599964718524331e-08,3.3041992644086654e-06,2.8214711671557624e-05,0.986
1785214823.250613,50,-0.002443552017211914,1.1683666706085205,0.39502697229385375,-0.005701541900634766,0.39839935302734375,-0.00033545494079589844,-0.012122154235839844,0.012210845947265625,-0.012210845947265625,-0.02425074005126953,-0.012210845947265625,0.012210845947265625,-0.0073261260986328125,-0.0073261260986328125,3.9968028886505646e-17,-3.382010551428595,-5.389764680448013,-0.06519487403136075,-1.2386547509909305,-0.03083758738099656,-0.08488114218322501,3.6821932062951476e-17,2.053007202227334e-07,2.053007202227334e-07,1.811327995362161e-05,1.0448539020660695e-07,9.27074159754955e-06,2.355448419505918e-05,0.986
1785214827.0506272,51,-0.002443552017211914,1.1684625148773193,-0.07126710844039907,-0.005701541900634766,0.40108251571655273,-0.00043129920959472656,-0.012122154235839844,0.012210845947265625,-0.012210845947265625,-0.02425074005126953,-0.012210845947265625,0.012210845947265625,-0.0073261260986328125,-0.0073261260986328125,-3.7965273626397506e-17,-6.0819875024407235,-2.690145595322675,-0.029586578401273895,-0.7533763041019884,-0.06697520559164798,-0.06096757035665197,2.2039512623758737e-17,2.63521994818618e-07,2.63521994818618e-07,6.06615514505146e-06,1.62893550993446e-07,1.3880864299180581e-05,1.2475455307586831e-05,0.986
1785214834.1506271,51,0.01748824119567871,0.8451433181762695,1.0524189395904542,0.07680511474609375,0.40079498291015625,0.0001437664031982422,-0.012217998504638672,0.012210845947265625,-0.012210845947265625,-0.02425074005126953,-0.012210845947265625,0.012210845947265625,-0.0073261260986328125,-0.0073261260986328125,1.936141878630616e-16,-0.20403800034523953,-6.927415393385689,-0.0642155683058092,-1.3422346974370516,0.0004643005793882833,-0.07582936273347435,5.046953321220115e-17,1.8598875911097663e-07,1.8598875911097663e-07,2.0327605924361474e-05,1.4256434937308178e-07,1.1868399680373345e-05,1.7048174121002955e-05,0.986
1785214837.1506276,51,0.017392396926879883,0.8465805053710938,0.7901209774017334,0.07679571824915268,0.40079498291015625,0.0001437664031982422,-0.012122154235839844,0.012210845947265625,-0.012210845947265625,-0.02425074005126953,-0.012210845947265625,0.012210845947265625,-0.0073261260986328125,-0.0073261260986328125,-7.414548278182908e-17,0.030837717427899418,-7.171376836047097,-0.06550625627506367,-1.4497303941049093,-0.021965390177545514,-0.08677082465721465,5.4204569364543416e-17,1.8624019643986458e-07,1.8624019643986458e-07,2.472871686094405e-05,3.1595193365268823e-06,2.228846720577185e-05,2.0030436768814285e-05,0.986
1785214840.9506168,51,0.05265665054321289,0.5125288963317871,0.7897191457748413,0.07678632175221163,0.4006991386413574,0.0002396106719970703,-0.012122154235839844,0.012210845947265625,-0.012210845947265625,-0.02425074005126953,-0.012210845947265625,0.012210845947265625,-0.0073261260986328125,-0.0073261260986328125,1.0971615772766247e-17,2.10625224380536,-6.780980091072237,-0.06317838941091328,-1.2977672908205702,0.006507553266780482,-0.07199681904763806,3.776016010586008e-17,7.821015738709413e-07,7.821015732234141e-07,2.361792144070784e-05,4.024424667934027e-06,2.7636678061937565e-05,1.7911452630585402e-05,0.986
1785214844.4506593,52,0.05323171615600586,0.28034090995788574,0.6428276581030625,0.07680511474609375,0.3988785743713379,0.0002396106719970703,-0.012122154235839844,0.012210845947265625,-0.012210845947265625,-0.02425074005126953,-0.012210845947265625,0.012210845947265625,-0.0073261260986328125,-0.0073261260986328125,-8.309592330463672e-17,3.9215520581069745,-6.558927115340378,-0.06159438786420602,-1.2363337814001127,0.013655963904947747,-0.06696926369826862,7.088372726754363e-17,0.00010937613041826419,0.00010937613041917121,2.2342632931861108e-05,2.987316515519533e-05,1.494227687409687e-05,1.820231649833553e-05,0.986
1785214847.7506425,52,0.05323171615600586,0.2808201313018799,0.426043074131012,0.07680511474609375,0.3988785743713379,0.0001437664031982422,-0.012122154235839844,0.012210845947265625,-0.012210845947265625,-0.02425074005126953,-0.012210845947265625,0.012210845947265625,-0.0073261260986328125,-0.0073261260986328125,1.5504691547745938e-16,4.388294326480798,-7.030059462136726,-0.06510915898065289,-1.3772252286912965,-0.005033663439817685,-0.07897671651597313,2.603966383896677e-17,1.0928998984851173e-07,1.0928998943187711e-07,2.1773360796429174e-05,1.3537072219538146e-07,1.138995146600012e-05,1.8827681389502338e-05,0.986
